xAcc,yAcc,zAcc,xGyro,yGyro,zGyro
8.93,-2.73,-2.52,2.01,3.54,-3.17
4.34,-0.17,8.42,7.14,0.55,-7.93
12.6,-1.18,-6.54,16.91,-39.37,-5.68
5.8,0.7,-7.8,4.82,27.71,-11.17
9.23,-2.21,-2.13,-0.24,0.37,-1.95
8.7,-1.43,-4.29,-4.09,-2.93,5.43
4.23,-4.67,-5.6,14.16,-6.41,-3.48
6.68,-0.02,-4.15,-26.86,0.12,8.12
8.82,-5.86,0.59,121.03,79.41,-1.1
7.49,0.48,-5.28,-33.51,5.25,21.73
6,-2.94,-5.18,11.47,-8.61,-5.49
12.75,1.57,-10.12,-3.36,-4.46,51.57
7.36,2.84,-5.02,-15.2,2.32,1.34
7.28,3.15,4.98,28.87,-27.1,-44.56
6.53,0.45,-5.37,-17.4,5.74,3.91
8.61,-3.07,-3.06,-1.95,-0.43,0.12
5.12,-1.38,8.14,28.56,-0.49,-24.6
6.56,-0.22,-4.12,-56.21,0.79,11.9
7.7,-4.3,-3.18,-33.94,5.07,17.76
6.99,-1.81,-5.79,-106.2,44.07,53.47
5.68,1.12,-4.55,-5.19,-4.58,1.65
5.03,0.55,-2.55,-25.94,11.35,28.56
6.86,1.38,-4.11,-23.56,7.81,18.43
10.79,1.93,-6.34,9.28,-22.89,20.2
6.85,0.93,-4.93,9.64,11.35,-5.07
9.04,-0.13,-3.76,3.23,4.76,5.98
9.13,-2.64,-11.76,18.13,-3.6,-0.85
4.48,2.39,-5.29,-2.44,8.91,-0.06
6.86,-2.79,-10.59,8.18,-4.7,-15.99
6.36,-6.86,-4.5,-55.42,9.09,26.73
7.21,-2.68,-5.28,83.56,5.31,-37.23
7.99,-1.34,-4.66,40.95,-7.2,-33.87
9.23,-4.17,-2.62,11.23,-7.32,0.37
8.34,-2.87,-2.89,-0.98,1.46,-0.37
8.48,2.68,0.29,5.92,47.24,-9.58
5.56,0.97,-7.09,9.03,8.24,-2.08
7.3,-2.98,-5.49,-2.08,3.97,0.43
0.57,1.31,-8.57,68.79,14.22,-118.29
9.55,2.06,-6.32,-33.87,0.73,6.23
7.43,-1.03,-7.47,5.98,9.46,-12.45
5.44,-1.84,-6.88,36.19,-5.07,-30.7
6.6,-0.03,-5.07,12.76,-10.62,-18.8
9.1,-2.82,-1.85,0.06,0.73,-1.16
13.98,-4.29,-8.44,15.56,25.7,-47.06
7.12,-5.22,-4.86,18.01,8.91,-26.67
8.8,-0.95,-4.41,31.31,-6.23,-14.1
7.67,-3.36,-3.9,9.16,-17.58,13.85
4.34,0.92,7.42,2.87,39.61,4.58
4.32,-7.75,6.49,-3.42,-6.96,19.35
6.54,1.34,-6.4,-6.53,1.16,-34.55
5.83,-2.49,7.69,-9.83,3.48,9.83
9.3,-2.68,-1.18,-0.85,-0.73,-0.67
5.12,0.17,-6,3.6,5.43,-1.83
5.52,-1.32,-8.69,-13.24,-69.27,9.09
8.39,-0.97,-5.17,10.5,-9.52,-20.69
7.59,4.7,-3.66,-9.7,29.05,-34.42
18.5,-1.82,-6.33,-40.95,31.01,83.98
5.79,0.18,-5.63,-54.08,5.74,54.75
5.72,-0.98,-5.45,-9.77,-9.4,5.86
9.71,-1.25,-7.2,8.79,-6.41,-3.54
4.28,-8.01,3.9,-1.28,0.73,-0.06
5.48,-1.36,8.13,-0.67,0.12,-0.67
6.48,-1.36,-6.49,9.46,-3.72,-12.39
6.45,1.67,-5.39,-13.85,-3.17,6.71
6.13,-0.59,-2.05,27.83,12.94,-7.02
4.24,-3.54,-6.18,35.16,5,-31.98
5.38,-3.79,-3.72,-25.7,12.02,-1.83
6.61,-1.84,-5.95,-13.73,-9.03,1.1
3.47,-6.34,6.99,-0.85,1.65,-1.1
6.17,0.57,-2.6,17.33,19.35,-10.25
8.59,-1.9,-3,6.71,-2.01,-3.42
9.72,-3.19,-4.6,-27.95,15.87,28.81
7.64,-1.98,-4.52,6.96,-1.89,-6.71
7.17,-1.63,-6,-6.29,3.17,1.89
9.05,1.4,-0.96,16.85,-65.8,-16.24
9.87,1.55,-6.84,-11.23,-4.09,-27.04
5.54,0.73,-6.28,-2.99,-4.21,0.31
7.09,-0.45,-5.87,-19.35,-4.52,5.68
6.69,0.6,-6.45,-1.34,-18.8,0.31
7.26,-4.53,-6.04,-38.82,-9.52,32.53
6.63,-0.18,10,-50.17,-27.34,-1.83
6.57,5.69,-6.47,-29.17,-4.76,30.88
11.12,-2.48,-6.44,-6.16,-6.1,10.68
4.58,-3.68,8.06,-2.44,0.06,-0.73
9.3,-2.1,-1.91,-0.73,-0.18,0
3.09,-3.89,-10.16,-38.27,35.64,21.55
9.87,0.85,-4.42,-4.15,19.29,11.41
6.5,-2.16,-6.57,0.43,8.36,1.34
3.36,2.05,-3.62,22.4,4.27,-16.17
1.99,6.81,8.54,4.09,-12.33,-1.34
6.42,-4.07,6.35,-0.55,-2.93,-4.82
7.35,0.08,-5.78,-1.83,-0.98,-1.1
7.63,-2.3,-6.73,6.77,1.4,-1.71
10.94,-4.37,-10.46,21.61,-15.87,13.55
5.39,-3.77,7.47,-0.61,0.43,-1.34
5.48,-1.7,-4.66,17.15,4.76,2.26
12.38,-4.91,-6.18,7.32,-17.21,-31.31
6.45,-1.71,-6.04,8.61,-6.23,-8.18
6.42,0.24,-3.23,-12.76,6.41,8.48
7.33,-6.04,-7.02,-1.16,1.89,4.21
6.89,-0.46,-6.09,-29.36,6.77,39.12
8.13,-0.89,5.46,-0.18,0,-0.79
10.53,1.16,-4.88,-24.96,-4.33,22.28
5.43,-5.36,6.35,-0.73,-0.73,-1.71
6,-5.58,4.77,31.43,-25.09,11.54
9.02,-1.86,-5.08,7.02,-10.19,9.09
9.83,-2.32,-2.16,38.39,-12.15,3.54
18.74,-4.06,-8.76,-7.39,13.49,-15.63
4.28,0.17,-8.2,-0.55,24.41,4.94
7.47,-0.03,-7.32,-7.39,-4.46,2.32
11.1,2.09,-7.6,-15.44,-36.74,-7.26
5.95,-2.62,-6.58,-92.83,-8,64.15
1.39,-5.16,14.24,14.71,7.02,-3.91
7.13,-0.45,-0.91,49.19,84.47,-82.03
14.16,1.37,-7.46,-12.15,0.12,63.17
8.19,2.89,6.57,-25.7,1.65,-3.42
8.99,-0.04,-6.25,-4.58,2.32,-11.29
6.25,-0.56,-5.96,-11.05,-2.2,25.15
9.04,-2.72,-2.67,0.67,1.65,-2.87
7.23,-1.78,-2.63,-5.25,-13.92,17.94
4.6,0.26,-7.15,11.11,10.44,-10.25
6.05,-5.01,-4.05,-15.56,10.25,10.19
5.4,-3.25,7.74,0.24,-0.31,-0.92
6.66,-1.22,7.6,6.29,-5.07,-4.88
3.83,-4.24,4,-77.64,86.49,31.74
5.99,-1.23,7.87,-0.92,0.37,-0.73
5.14,-4.87,7.2,2.32,-3.54,-1.22
5.6,-2.86,-7.12,0.24,-11.23,-4.88
6.68,-1.25,-3.28,2.62,10.74,-15.93
7.95,0.66,-5.66,70.19,5.31,-32.59
7.86,-1.14,5.83,1.46,-1.4,-2.5
7.74,7.5,4.71,-55.73,28.69,33.2
5.38,0.08,-5.8,4.09,4.64,-5.98
7.1,1.01,-5.25,-8.97,-7.75,-1.1
6.7,-3.23,-6.01,41.81,-10.5,-42.6
7.33,-2.73,-4.95,-29.79,-5.07,47.61
6.77,0.23,-5.27,25.15,5.13,-28.2
8.87,-3.46,-1.42,-0.73,-0.31,-0.12
9.34,-1.42,-3.88,-5.43,-5.31,-14.71
9.05,-3.44,-1.4,-0.67,0.31,-1.89
4.41,1.09,-4,-2.56,-6.16,0.61
5.1,0.5,-5.71,-1.1,4.52,-5.68
1.06,8.65,-4.15,-40.65,12.51,-77.39
14.85,0.74,-8.2,-8.67,10.8,37.35
5.73,-3.64,-5.14,29.05,-12.51,-42.85
5.6,-1.48,-8.28,0.49,7.57,18.37
-0.3,0.77,7.32,0.67,-29.85,22.03
6.45,2.02,-2.3,-9.64,3.17,8.73
1.93,-8.72,4.95,4.03,-14.28,-18.55
6.71,-2.82,-4.12,-133.54,39.43,42.54
17.18,-8.44,-11.22,64.51,-12.45,-92.53
5.51,-0.14,-6.44,-5.68,-0.61,9.89
7.49,-2.07,-4.67,32.35,-25.7,-37.23
